Payouts Payout Currency,AED,AUD,CAD,CHF,CNY,CZK,EUR,GBP,HKD,JPY,KRW,MYR,NOK,NZD,PEN,SAR,SEK,SGD,THB,USD,ZAR
Transfer Dates Guaranteed Week,Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD)
2019-07-08,56019.4146492414,8447579.160456175,7936254.452866314,251603.1680464909,29503.5751311,,1702379.73300054,6315242.463809616,429767.1918057895,452881.346456664,,165495.7488644725,19693.30329116427,591026.3658586448,,,2796.979176911,618838.5865268236,1144.54199499847,37843669.13806141,
2019-07-01,123117.31535953052,6964079.623455375,7867762.065717127,355036.4392755366,2432.0058864999996,,1593253.2022767141,8669298.304857094,582500.6824561564,402909.97815647995,,176783.34815226067,26220.105147964252,535460.8189780625,,,11939.353693500001,458539.05209264095,2277.39946941516,25725204.271202873,
2019-06-24,84157.16281816004,4804090.625892162,10116524.813379303,227520.40023141142,17973.000443735997,,1548339.172316068,8757803.19314958,456125.1240946185,537424.32792748,,130763.89966017011,15761.64182102922,399879.28431866434,,,28312.698346420002,615468.4782344679,4111.947447741981,25145689.19829847,
2019-06-17,26940.77607732,4177292.3655457566,11843943.28581538,649862.0854451939,2254.88610598868,,1331325.4254238128,6577231.797143729,240412.27360195215,588574.601018675,,198810.69464508773,31554.690151172836,340785.6538227263,,,11732.67079218,403380.28872302163,,15711161.075285377,
2019-06-10,44384.204285137224,5024854.617712853,15173775.518419594,1531910.7240706019,3603.68229342,,1578461.8681943356,7104221.485195357,101567.30751441685,812707.6164641043,,140391.61099603056,11767.744387619328,407656.04503194033,,,30466.517579271997,206966.49969809916,1025.58524098524,17036299.64743951,
2019-06-03,114086.13222862297,4327581.182683062,10376413.256097006,518563.50438578066,13878.410042868001,,1414461.94101899,6646677.700838069,99424.90280202647,993730.1121670151,,128831.8350048638,20179.874860101252,336463.1035183782,,,32050.01510596,188876.96194720198,7955.581528211561,14399046.972882306,
2019-05-27,96460.00286329008,4283375.259641117,11764999.324196957,701546.4766391745,33341.203557484005,,1856341.0652013652,7889985.624119945,90549.83244544646,2379028.929963724,,168185.5973955171,12630.689399073919,763918.176382332,,,78494.63670908399,216066.5780462028,7023.62938751581,17631107.279382262,
2019-05-20,49144.179785595996,3352338.9229159565,11335683.787602238,370064.05099534587,12614.93262620724,,1397481.7383338346,6677118.053002352,129347.18440213906,1294312.770614518,,127992.93032418743,26476.80810064045,1602145.6532313684,,,27759.04538414244,215132.22806500987,5814.79696319759,16356973.756133959,
2019-05-13,32432.855050593476,2842905.626674651,11112793.696595285,223918.35727737105,48029.07910965584,,1197170.5080061234,5877019.84341293,84446.30789301958,485098.82241155196,,200104.0195566434,14085.21676470808,312069.24022362457,,,84657.972338142,236079.03738867003,4296.324954238329,17560586.809267644,
2019-05-06,25370.183835415995,2098658.8624793706,9609001.268151728,286014.18187336973,72934.97027420004,,1167177.8833914043,5116874.126337432,61899.698686291245,538516.114303485,,207488.44401140983,20741.74780555218,280628.4009346563,,,96650.98201574599,169169.9283416923,2536.3852132113802,16724707.577419056,
2019-04-29,38663.036135220005,1903877.2281956612,6829316.242903136,312495.46122060914,28893.712237092,,1346614.8068336714,5648528.858749861,85265.6051995145,271695.8222347349,,204084.4039443833,18721.35884131595,157347.941110721,,,89564.24878066602,178239.13341266185,5100.9009973921,15106305.916958733,
2019-04-22,33498.706651871995,2080899.4635659123,8871457.07824075,175249.1000307559,33156.4158989055,,1673403.5635776385,6143457.974751602,98641.57743001272,459851.84518009715,,304470.135113148,18520.872735203782,135567.5270890448,,,18348.8345525,317563.9827178285,2062.23325388487,16608884.67542847,
2019-04-15,31840.648106232842,2187749.1305907383,5786862.744481805,193497.02355013,10349.505651909,,987778.4912534565,4677907.316662429,69549.1180690624,412591.437382868,,238360.6335393684,5421.719404991999,238441.05378430776,,,23097.652866018,391399.68419565004,5652.81910308993,11997750.505035074,
2019-04-08,14574.54052495,2232321.2487503365,6834680.220836996,105941.51018243907,4762.4956396,,1080944.2721512339,4851613.271124708,94965.4397363176,357588.655834664,,181526.86145251436,15967.70789578151,166586.98517970886,,,49172.301797832,370236.0909034037,1105.86220872072,13214489.15936407,
2019-04-01,44235.613406772616,2253014.2335601305,5933515.155316979,128339.0575339741,40366.7579382749,,1112482.5611265826,4340454.529199963,75815.4555043037,362390.14757773007,,163880.90948777949,24128.78121467942,105335.1929092007,,,24208.307535,378025.37279371073,2099.51270145952,11744623.21763199,
2019-03-25,125518.61148283377,2683677.661580423,7030529.168122343,163393.23259690622,6163.97665196095,,1509762.2704248035,4824904.647364425,204688.53143364476,508053.6768923849,,141150.24645069428,24031.550456359,157620.60894674214,,,25949.65104,422914.41263817105,4933.873122512,12521361.146730045,
2019-03-18,104783.66250780398,2663074.022542092,7039212.824987631,85784.09803112081,8148.57999164304,,1184730.1414417133,3704021.6836558534,158974.04526805552,827980.8504655203,,87852.29021658115,23885.56225319376,127709.99487940264,,,43400.473415,381180.5461514272,3893.11887257384,11647767.671156142,1384.77154
2019-03-11,7706.739289634,2941163.9114591554,8275124.387266129,94088.66247279437,2973.0038919156004,,1271603.6484227714,3295128.676646059,109225.60766401557,924740.2167945697,,94619.39847373738,27971.16339548394,158837.88088802376,,,,344088.9218146273,1052.43293355972,12134225.421349917,
2019-03-04,28574.268251242,9278497.15857493,7033750.085627135,95870.075176373,6458.8092774635,,1284370.809065368,2859235.4708564705,246337.0746527133,1921319.634409869,,88787.65728513578,25935.260698159258,324662.7757813531,,,,447670.69721157395,1813.335413,12375740.753409946,1119.4299273414001
2019-02-25,15344.315883456,9393764.438803637,6568880.108154079,76845.98495884803,16518.2995282279,,1285229.2093258789,3280480.939189096,689415.7511611463,4061325.891362114,,150414.6442891079,20164.77792159476,504456.2078503752,,,,421577.63105452934,1037.0643923988498,16163791.183912387,
2019-02-18,82343.907539824,8024065.779329453,4747296.18699315,120505.37261770993,12060.254312449451,,880267.2108876428,2781110.0684506185,491301.6255804728,2416077.769351446,,202167.19058410983,27629.599702775635,594277.9446523157,,,,546976.5392383736,587.59465345,11909074.357668493,
2019-02-11,16495.575245239997,9555853.832164947,5930790.083936077,175297.98989867352,3183.69706448,,1019006.9613786932,2959039.759854752,273332.4240405934,773646.6649017889,,174626.76814454273,11035.7826676384,1426174.1537614965,,,9201.811969999999,253125.3958642153,1935.07416432255,12938940.321750255,
2019-02-04,18530.5105783574,5030305.044530714,4451839.411755682,80191.85104735,36431.45648664515,,892999.7162078772,2623055.2084624274,11679.9026113011,500409.2983798189,,112155.79159753342,27701.22058723937,938565.5483349574,,,3496.7425025,247065.31320429753,584.3340377834401,13345154.473760413,
